Typhoon_ID,Line,Wind_Speed_ms,Failure_Prob,Disrupted
201911,L_0-1,24.76,0.1001,NO
201911,L_1-2,24.81,0.1026,NO
201911,L_2-3,24.81,0.1026,NO
201911,L_3-4,24.71,0.098,NO
201911,L_4-5,24.58,0.0922,NO
201911,L_5-6,24.46,0.087,YES
201911,L_6-7,24.32,0.081,NO
201911,L_7-8,24.2,0.0761,NO
201911,L_8-9,24.07,0.071,NO
201911,L_9-10,23.96,0.067,NO
201911,L_10-11,23.95,0.0666,NO
201911,L_11-12,23.95,0.0666,NO
201911,L_12-13,23.85,0.0629,NO
201911,L_13-14,23.97,0.0675,NO
201911,L_14-15,23.97,0.0675,NO
201911,L_15-16,24.0,0.0686,NO
201911,L_16-17,24.09,0.0719,NO
201911,L_1-18,24.68,0.0967,NO
201911,L_18-19,24.51,0.089,YES
201911,L_19-20,24.35,0.0822,NO
201911,L_20-21,24.22,0.0769,NO
201911,L_2-22,24.91,0.1078,NO
201911,L_22-23,24.95,0.1097,NO
201911,L_23-24,24.95,0.1097,NO
201911,L_5-25,24.52,0.0892,NO
201911,L_25-26,24.6,0.0929,NO
201911,L_26-27,24.71,0.0978,YES
201911,L_27-28,24.81,0.1026,NO
201911,L_28-29,24.81,0.1026,NO
201911,L_29-30,24.69,0.0972,NO
201911,L_30-31,24.54,0.0903,NO
201911,L_31-32,24.38,0.0832,NO
201911,L_20-7,24.22,0.0769,NO
201911,L_8-14,24.07,0.071,NO
201911,L_11-21,24.09,0.0717,NO
201911,L_17-32,24.22,0.0768,NO
201911,L_24-28,24.92,0.108,NO
