Typhoon_ID,Line,Wind_Speed_ms,Failure_Prob,Disrupted
201911,L_0-1,24.76,0.1001,NO
201911,L_1-2,24.81,0.1026,NO
201911,L_2-3,24.81,0.1026,NO
201911,L_3-4,24.71,0.098,NO
201911,L_4-5,24.58,0.0922,NO
201911,L_5-6,24.46,0.087,YES
201911,L_6-7,24.32,0.081,NO
201911,L_7-8,24.2,0.0761,NO
201911,L_8-9,24.07,0.071,NO
201911,L_9-10,23.96,0.067,NO
201911,L_10-11,23.95,0.0666,NO
201911,L_11-12,23.95,0.0666,NO
201911,L_12-13,23.85,0.0629,NO
201911,L_13-14,23.97,0.0675,NO
201911,L_14-15,23.97,0.0675,NO
201911,L_15-16,24.0,0.0686,NO
201911,L_16-17,24.09,0.0719,NO
201911,L_1-18,24.68,0.0967,NO
201911,L_18-19,24.51,0.089,YES
201911,L_19-20,24.35,0.0822,NO
201911,L_20-21,24.22,0.0769,NO
201911,L_2-22,24.91,0.1078,NO
201911,L_22-23,24.95,0.1097,NO
201911,L_23-24,24.95,0.1097,NO
201911,L_5-25,24.52,0.0892,NO
201911,L_25-26,24.6,0.0929,NO
201911,L_26-27,24.71,0.0978,YES
201911,L_27-28,24.81,0.1026,NO
201911,L_28-29,24.81,0.1026,NO
201911,L_29-30,24.69,0.0972,NO
201911,L_30-31,24.54,0.0903,NO
201911,L_31-32,24.38,0.0832,NO
201911,L_20-7,24.22,0.0769,NO
201911,L_8-14,24.07,0.071,NO
201911,L_11-21,24.09,0.0717,NO
201911,L_17-32,24.22,0.0768,NO
201911,L_24-28,24.92,0.108,NO
201710,L_0-1,22.86,0.035,NO
201710,L_1-2,22.86,0.035,NO
201710,L_2-3,22.68,0.0312,NO
201710,L_3-4,22.68,0.031,NO
201710,L_4-5,22.68,0.031,NO
201710,L_5-6,22.76,0.0329,NO
201710,L_6-7,22.89,0.0357,NO
201710,L_7-8,22.89,0.0357,NO
201710,L_8-9,22.87,0.0353,NO
201710,L_9-10,22.67,0.0308,NO
201710,L_10-11,22.34,0.0247,NO
201710,L_11-12,22.51,0.0277,NO
201710,L_12-13,22.83,0.0343,NO
201710,L_13-14,22.83,0.0343,NO
201710,L_14-15,22.8,0.0337,NO
201710,L_15-16,22.66,0.0307,NO
201710,L_16-17,22.5,0.0276,NO
201710,L_1-18,22.86,0.035,NO
201710,L_18-19,22.73,0.0321,NO
201710,L_19-20,22.64,0.0303,NO
201710,L_20-21,22.64,0.0303,NO
201710,L_2-22,22.68,0.0312,NO
201710,L_22-23,22.51,0.0277,NO
201710,L_23-24,22.35,0.0248,NO
201710,L_5-25,22.65,0.0306,NO
201710,L_25-26,22.51,0.0277,NO
201710,L_26-27,22.37,0.0252,NO
201710,L_27-28,22.25,0.0231,NO
201710,L_28-29,22.15,0.0215,NO
201710,L_29-30,22.08,0.0205,NO
201710,L_30-31,22.12,0.0211,NO
201710,L_31-32,22.21,0.0226,NO
201710,L_20-7,22.89,0.0357,NO
201710,L_8-14,22.87,0.0353,NO
201710,L_11-21,22.37,0.0252,NO
201710,L_17-32,22.35,0.0248,NO
201710,L_24-28,22.22,0.0227,NO
200427,L_0-1,18.09,0.0004,NO
200427,L_1-2,18.09,0.0004,NO
200427,L_2-3,18.12,0.0004,NO
200427,L_3-4,18.19,0.0004,NO
200427,L_4-5,18.27,0.0005,NO
200427,L_5-6,18.33,0.0005,NO
200427,L_6-7,18.38,0.0005,NO
200427,L_7-8,18.47,0.0006,NO
200427,L_8-9,18.5,0.0006,NO
200427,L_9-10,18.52,0.0007,NO
200427,L_10-11,18.52,0.0007,NO
200427,L_11-12,18.57,0.0007,NO
200427,L_12-13,18.6,0.0007,NO
200427,L_13-14,18.6,0.0007,NO
200427,L_14-15,18.59,0.0007,NO
200427,L_15-16,18.6,0.0007,NO
200427,L_16-17,18.6,0.0007,NO
200427,L_1-18,18.15,0.0004,NO
200427,L_18-19,18.24,0.0005,NO
200427,L_19-20,18.33,0.0005,NO
200427,L_20-21,18.38,0.0005,NO
200427,L_2-22,18.06,0.0004,NO
200427,L_22-23,18.06,0.0004,NO
200427,L_23-24,18.11,0.0004,NO
200427,L_5-25,18.28,0.0005,NO
200427,L_25-26,18.28,0.0005,NO
200427,L_26-27,18.26,0.0005,NO
200427,L_27-28,18.22,0.0004,NO
200427,L_28-29,18.26,0.0005,NO
200427,L_29-30,18.36,0.0005,NO
200427,L_30-31,18.45,0.0006,NO
200427,L_31-32,18.52,0.0007,NO
200427,L_20-7,18.38,0.0005,NO
200427,L_8-14,18.55,0.0007,NO
200427,L_11-21,18.47,0.0006,NO
200427,L_17-32,18.58,0.0007,NO
200427,L_24-28,18.18,0.0004,NO
201111,L_0-1,25.73,0.1532,NO
201111,L_1-2,25.82,0.1588,NO
201111,L_2-3,25.82,0.1588,NO
201111,L_3-4,25.75,0.1542,NO
201111,L_4-5,25.65,0.1479,NO
201111,L_5-6,25.55,0.1425,NO
201111,L_6-7,25.42,0.1346,NO
201111,L_7-8,25.3,0.1278,NO
201111,L_8-9,25.19,0.1221,NO
201111,L_9-10,25.08,0.1161,NO
201111,L_10-11,25.04,0.1141,YES
201111,L_11-12,25.04,0.1141,YES
201111,L_12-13,24.99,0.1118,YES
201111,L_13-14,25.12,0.1184,NO
201111,L_14-15,25.14,0.1194,YES
201111,L_15-16,25.2,0.1226,NO
201111,L_16-17,25.3,0.1282,NO
201111,L_1-18,25.69,0.1505,NO
201111,L_18-19,25.53,0.141,NO
201111,L_19-20,25.39,0.133,NO
201111,L_20-21,25.29,0.1273,NO
201111,L_2-22,25.94,0.1665,NO
201111,L_22-23,26.01,0.1707,NO
201111,L_23-24,26.01,0.1708,NO
201111,L_5-25,25.63,0.1467,NO
201111,L_25-26,25.72,0.1525,NO
201111,L_26-27,25.83,0.1594,NO
201111,L_27-28,25.94,0.166,NO
201111,L_28-29,25.94,0.166,NO
201111,L_29-30,25.86,0.1611,NO
201111,L_30-31,25.73,0.1533,NO
201111,L_31-32,25.59,0.1444,NO
201111,L_20-7,25.3,0.1278,NO
201111,L_8-14,25.19,0.1221,NO
201111,L_11-21,25.16,0.1202,NO
201111,L_17-32,25.44,0.1357,NO
201111,L_24-28,26.01,0.1708,NO
200309,L_0-1,21.83,0.017,NO
200309,L_1-2,21.83,0.017,NO
200309,L_2-3,21.74,0.0159,NO
200309,L_3-4,21.97,0.0189,NO
200309,L_4-5,22.18,0.0221,NO
200309,L_5-6,22.47,0.027,NO
200309,L_6-7,22.73,0.0321,NO
200309,L_7-8,22.73,0.0321,NO
200309,L_8-9,22.63,0.0301,NO
200309,L_9-10,22.51,0.0278,NO
200309,L_10-11,22.48,0.0273,NO
200309,L_11-12,22.48,0.0273,NO
200309,L_12-13,22.41,0.0259,NO
200309,L_13-14,22.54,0.0284,NO
200309,L_14-15,22.55,0.0285,NO
200309,L_15-16,22.6,0.0295,NO
200309,L_16-17,22.7,0.0315,NO
200309,L_1-18,22.17,0.0218,NO
200309,L_18-19,22.48,0.0271,NO
200309,L_19-20,22.72,0.0318,NO
200309,L_20-21,22.72,0.0318,NO
200309,L_2-22,21.57,0.0139,NO
200309,L_22-23,21.34,0.0116,NO
200309,L_23-24,21.27,0.0109,NO
200309,L_5-25,22.18,0.0221,NO
200309,L_25-26,22.06,0.0201,NO
200309,L_26-27,21.87,0.0176,NO
200309,L_27-28,21.66,0.0149,NO
200309,L_28-29,21.64,0.0147,NO
200309,L_29-30,21.92,0.0182,NO
200309,L_30-31,22.24,0.023,NO
200309,L_31-32,22.56,0.0286,NO
200309,L_20-7,22.73,0.0321,NO
200309,L_8-14,22.63,0.0301,NO
200309,L_11-21,22.62,0.0298,NO
200309,L_17-32,22.7,0.0315,NO
200309,L_24-28,21.45,0.0127,NO
200105,L_0-1,16.95,0.0001,NO
200105,L_1-2,16.9,0.0001,NO
200105,L_2-3,16.77,0.0001,NO
200105,L_3-4,16.76,0.0001,NO
200105,L_4-5,16.76,0.0001,NO
200105,L_5-6,16.82,0.0001,NO
200105,L_6-7,16.91,0.0001,NO
200105,L_7-8,16.91,0.0001,NO
200105,L_8-9,16.99,0.0001,NO
200105,L_9-10,17.12,0.0001,NO
200105,L_10-11,17.12,0.0001,NO
200105,L_11-12,17.11,0.0001,NO
200105,L_12-13,17.05,0.0001,NO
200105,L_13-14,16.93,0.0001,NO
200105,L_14-15,16.84,0.0001,NO
200105,L_15-16,16.74,0.0001,NO
200105,L_16-17,16.63,0.0,NO
200105,L_1-18,16.99,0.0001,NO
200105,L_18-19,17.03,0.0001,NO
200105,L_19-20,17.03,0.0001,NO
200105,L_20-21,17.1,0.0001,NO
200105,L_2-22,16.77,0.0001,NO
200105,L_22-23,16.65,0.0,NO
200105,L_23-24,16.54,0.0,NO
200105,L_5-25,16.74,0.0001,NO
200105,L_25-26,16.64,0.0,NO
200105,L_26-27,16.54,0.0,NO
200105,L_27-28,16.46,0.0,NO
200105,L_28-29,16.39,0.0,NO
200105,L_29-30,16.34,0.0,NO
200105,L_30-31,16.36,0.0,NO
200105,L_31-32,16.43,0.0,NO
200105,L_20-7,17.01,0.0001,NO
200105,L_8-14,16.89,0.0001,NO
200105,L_11-21,17.11,0.0001,NO
200105,L_17-32,16.52,0.0,NO
200105,L_24-28,16.44,0.0,NO
201601,L_0-1,43.95,0.9945,YES
201601,L_1-2,43.76,0.9941,YES
201601,L_2-3,43.76,0.9941,YES
201601,L_3-4,43.56,0.9935,YES
201601,L_4-5,43.32,0.9928,YES
201601,L_5-6,43.06,0.992,YES
201601,L_6-7,42.9,0.9915,YES
201601,L_7-8,42.79,0.991,YES
201601,L_8-9,42.52,0.99,YES
201601,L_9-10,42.45,0.9897,YES
201601,L_10-11,42.58,0.9902,YES
201601,L_11-12,42.58,0.9902,YES
201601,L_12-13,42.27,0.9889,YES
201601,L_13-14,42.27,0.9889,YES
201601,L_14-15,42.27,0.9889,YES
201601,L_15-16,42.13,0.9882,YES
201601,L_16-17,42.07,0.9879,YES
201601,L_1-18,43.71,0.994,YES
201601,L_18-19,43.51,0.9934,YES
201601,L_19-20,43.25,0.9926,YES
201601,L_20-21,42.97,0.9917,YES
201601,L_2-22,43.77,0.9941,YES
201601,L_22-23,43.77,0.9941,YES
201601,L_23-24,43.66,0.9938,YES
201601,L_5-25,43.06,0.992,YES
201601,L_25-26,43.02,0.9919,YES
201601,L_26-27,43.08,0.9921,YES
201601,L_27-28,43.16,0.9923,YES
201601,L_28-29,43.16,0.9923,YES
201601,L_29-30,42.88,0.9914,YES
201601,L_30-31,42.6,0.9903,YES
201601,L_31-32,42.36,0.9893,YES
201601,L_20-7,42.97,0.9917,YES
201601,L_8-14,42.52,0.99,YES
201601,L_11-21,42.83,0.9912,YES
201601,L_17-32,42.17,0.9884,YES
201601,L_24-28,43.44,0.9932,YES
199608,L_0-1,31.64,0.6387,NO
199608,L_1-2,31.86,0.6557,NO
199608,L_2-3,31.91,0.6599,YES
199608,L_3-4,31.95,0.6624,YES
199608,L_4-5,32.02,0.6677,YES
199608,L_5-6,32.02,0.6677,YES
199608,L_6-7,31.89,0.6583,YES
199608,L_7-8,31.8,0.6508,YES
199608,L_8-9,31.8,0.6508,YES
199608,L_9-10,31.62,0.6369,YES
199608,L_10-11,31.41,0.62,YES
199608,L_11-12,31.53,0.6301,YES
199608,L_12-13,31.75,0.647,YES
199608,L_13-14,31.91,0.6599,YES
199608,L_14-15,32.12,0.6755,NO
199608,L_15-16,32.35,0.6921,YES
199608,L_16-17,32.57,0.708,YES
199608,L_1-18,31.64,0.6387,NO
199608,L_18-19,31.52,0.629,YES
199608,L_19-20,31.54,0.6308,NO
199608,L_20-21,31.54,0.6308,YES
199608,L_2-22,32.09,0.6731,NO
199608,L_22-23,32.33,0.6911,YES
199608,L_23-24,32.56,0.7073,YES
199608,L_5-25,32.23,0.6834,YES
199608,L_25-26,32.42,0.6973,YES
199608,L_26-27,32.58,0.709,YES
199608,L_27-28,32.72,0.7183,YES
199608,L_28-29,32.72,0.7183,NO
199608,L_29-30,32.44,0.6989,YES
199608,L_30-31,32.42,0.6974,YES
199608,L_31-32,32.67,0.7149,NO
199608,L_20-7,31.74,0.6466,YES
199608,L_8-14,31.91,0.6599,YES
199608,L_11-21,31.4,0.6194,YES
199608,L_17-32,32.67,0.7149,NO
199608,L_24-28,32.72,0.7183,YES
200420,L_0-1,15.84,0.0,NO
200420,L_1-2,15.84,0.0,NO
200420,L_2-3,15.99,0.0,NO
200420,L_3-4,16.19,0.0,NO
200420,L_4-5,16.4,0.0,NO
200420,L_5-6,16.53,0.0,NO
200420,L_6-7,16.62,0.0,NO
200420,L_7-8,16.86,0.0001,NO
200420,L_8-9,16.91,0.0001,NO
200420,L_9-10,16.93,0.0001,NO
200420,L_10-11,16.93,0.0001,NO
200420,L_11-12,17.06,0.0001,NO
200420,L_12-13,17.18,0.0001,NO
200420,L_13-14,17.18,0.0001,NO
200420,L_14-15,17.23,0.0001,NO
200420,L_15-16,17.24,0.0001,NO
200420,L_16-17,17.24,0.0001,NO
200420,L_1-18,16.0,0.0,NO
200420,L_18-19,16.22,0.0,NO
200420,L_19-20,16.45,0.0,NO
200420,L_20-21,16.56,0.0,NO
200420,L_2-22,15.82,0.0,NO
200420,L_22-23,15.93,0.0,NO
200420,L_23-24,16.12,0.0,NO
200420,L_5-25,16.46,0.0,NO
200420,L_25-26,16.47,0.0,NO
200420,L_26-27,16.47,0.0,NO
200420,L_27-28,16.42,0.0,NO
200420,L_28-29,16.61,0.0,NO
200420,L_29-30,16.86,0.0001,NO
200420,L_30-31,17.07,0.0001,NO
200420,L_31-32,17.22,0.0001,NO
200420,L_20-7,16.62,0.0,NO
200420,L_8-14,17.09,0.0001,NO
200420,L_11-21,16.79,0.0001,NO
200420,L_17-32,17.24,0.0001,NO
200420,L_24-28,16.37,0.0,NO
200609,L_0-1,19.55,0.0022,NO
200609,L_1-2,19.55,0.0022,NO
200609,L_2-3,19.51,0.0021,NO
200609,L_3-4,19.6,0.0023,NO
200609,L_4-5,19.68,0.0025,NO
200609,L_5-6,19.8,0.0028,NO
200609,L_6-7,19.91,0.0032,NO
200609,L_7-8,20.02,0.0035,NO
200609,L_8-9,20.13,0.0039,NO
200609,L_9-10,20.13,0.0039,NO
200609,L_10-11,20.14,0.004,NO
200609,L_11-12,20.14,0.004,NO
200609,L_12-13,20.04,0.0036,NO
200609,L_13-14,20.08,0.0037,NO
200609,L_14-15,20.08,0.0037,NO
200609,L_15-16,20.06,0.0036,NO
200609,L_16-17,19.99,0.0034,NO
200609,L_1-18,19.69,0.0025,NO
200609,L_18-19,19.82,0.0029,NO
200609,L_19-20,19.92,0.0032,NO
200609,L_20-21,20.04,0.0036,NO
200609,L_2-22,19.44,0.0019,NO
200609,L_22-23,19.35,0.0017,NO
200609,L_23-24,19.3,0.0016,NO
200609,L_5-25,19.68,0.0025,NO
200609,L_25-26,19.61,0.0023,NO
200609,L_26-27,19.53,0.0021,NO
200609,L_27-28,19.43,0.0019,NO
200609,L_28-29,19.4,0.0018,NO
200609,L_29-30,19.5,0.002,NO
200609,L_30-31,19.62,0.0023,NO
200609,L_31-32,19.75,0.0027,NO
200609,L_20-7,19.92,0.0032,NO
200609,L_8-14,20.08,0.0037,NO
200609,L_11-21,20.14,0.004,NO
200609,L_17-32,19.88,0.0031,NO
200609,L_24-28,19.35,0.0017,NO
