項次,發生時間,事故名稱,停電戶數,復電時間
1,20241225T232700,榮成變電所第59條饋線全停逾時一小時以上事故,1,20241226T020700
2,20241217T095900,台中港科技園區誠研科技等部份用戶事故停電,30,20241217T101100
3,20241213T233900,自來水楊湖路加壓站停電事故。,"1,365",20241214T003700
4,20241214T145000,新竹科學園區停電事故。,2,20241214T152500
5,20241210T113000,西螺服務區南下休息站欠相停電事故,10,20241210T160000
6,20241209T181200,楠梓科技產業園區事故停電。,1,20241209T184000
7,20241204T165500,臺中潭子科技產業園區菱生科技等用戶事故停電,15,20241204T181300
8,20241126T070500,自來水中科院大坪抽水站停電事故。,"2,012",20241126T083900
9,20241121T135400,楠梓科技產業園區停電事故,1,20241121T142700
10,20241117T085500,自來水食水坑加壓站停電事故,"4,646",20241117T100500
11,20241116T020700,台水公司第七區管理處坪頂給水廠小坪淨水場停電,"2,422",20241116T044400
12,20241112T111900,台中潭子加工區台灣佳能停電事故,1,20241112T115900
13,20241109T041200,自來水食水坑加壓站停電事故。,"4,643",20241109T065800
14,20241109T214100,楠梓科技產業園區小環路停電事故。,1,20241109T233100
15,20241102T102200,中部科學園區編號H467饋線事故停電,112,20241102T102200
16,20241029T060300,自來水三坑抽水站二期停電事故,1,20241029T070000
17,20241027T153900,南部科學園區高雄園區停電事故,8,20241027T164600
18,20241024T094900,四平變電所#3主變壓器事故停電,"4,584",20241024T095200
19,20241024T103500,楠梓科技產業園區後勁配電變電所第11饋線(11仟伏)瞬間停電事故,29,20241024T103500
20,20241023T082900,臺北市立聯合醫院和平院區及總統府官邸事故停電,"2,834",20241023T083000
21,20241023T061400,新竹產業園區停電事故。,"1,095",20241023T075500
22,20241023T201900,興龍二次變電所#3主變壓器停電事故,"11,386",20241023T203100
23,20241023T071900,台灣自來水白沙屯加壓站及台鐵白沙屯站停電事故,"2,965",20241023T083200
24,20241018T104500,自來水第二區管理處尖山中繼加壓站事故停電,1,20241018T114800
25,20241013T095300,臺北榮民總醫院東院區火警停電事故,1,20241013T102800
26,20241010T052200,交通部民用航空局臺中航空站事故停電,377,20241010T061800
27,20241010T124100,衛福部南投醫院停電事故,"3,194",20241010T131900
28,20241001T193000,中部科學園區編號H875饋線事故停電(聯亞科技),1,20241001T194000
29,20240928T181500,興變電所9I28饋線相間過流電驛動作造成饋線斷路器跳脫，事故停電,"3,230",20240928T184200
30,20240925T235300,自來水第三區管理處伯公坑加壓站事故停電,917,20240926T005700
31,20240925T053000,台灣自來水第三區管理處加壓站與台鐵白沙屯站停電事故,"2,968",20240925T061500
32,20240924T052600,公館二次變電所#1主變壓器事故停電,"4,595",20240924T054000
33,20240923T161300,新竹科學園區銅鑼基地高壓分歧事故停電,28,20240923T161700
34,20240923T044100,台灣自來水公司第三區管理處南庄淨水廠停電事故,"3,226",20240923T044500
35,20240919T140700,台灣自來水公司第七區管理處大崗山給水廠嶺口淨水場停電事故,788,20240919T190500
36,20240919T010100,中正變電所第51號饋線事故停電,"3,093",20240919T022000
37,20240917T052000,後龍二次變電所1號主變壓器停電事故,"11,485",20240917T052900
38,20240916T175500,成都變電所第62號饋線事故停電,"1,915",20240916T183900
39,20240916T085300,潭後配電變電所第12饋線(11仟伏)事故停電。,"3,515",20240916T085600
40,20240911T232400,振興醫療財團法人振興醫院停電事故。,1,20240912T004600
41,20240903T145700,魚池二次變電所二號主變壓器停電事故,"4,389",20240903T150000
42,20240902T143300,金山二次變電所一號主變壓器事故停電。,"5,045",20240902T143400
43,20240902T204700,空軍松山指揮部停電事故,1,20240902T215700
44,20240902T063700,新豐配電變電所第55饋線小環路開關跳脫事故停電,3,20240902T075300
45,20240901T051200,新豐配電變電所第59饋線事故停電,1,20240901T051600
46,20240831T171700,協和珠山電廠8A09清水饋線停電事故,788,20240831T190000
47,20240823T150900,中興二次變電所三號主變壓器事故停電,"11,466",20240823T151000
48,20240820T084400,臺北自來水事業處大度加壓站停電事故,312,20240820T094300
49,20240814T044500,中加配電變電所第54饋線(22仟伏)小環路事故停電,1,20240814T063300
50,20240810T194600,仙渡變電所TZ65饋線停電事故,9,20240810T203600
51,20240802T222200,蟠桃配電變電所UL12饋線(11仟伏)事故停電,"1,364",20240803T002500
52,20240731T024000,內惟配電變電所第74饋線斷路器跳脫事故停電,253,20240731T032900
53,20240730T154200,龍顯配電變電所OS32饋線跳脫事故,"2,631",20240730T205700
54,20240725T175500,臺北市立聯合醫院事故停電（中興院區）,"2,136",20240725T210200
55,20240719T194400,興珍配電變電所YT55饋線小環路跳脫停電事故,11,20240721T121100
56,20240716T140400,成都變電所第62饋線事故停電,"2,350",20240716T140900
