,Safe_0,Safe_1,Safe_2,Safe_3,Safe_4,Safe_5,Safe_6,Safe_7,Safe_8,Safe_9,Safe_10,Safe_11,Safe_12,Safe_13,Safe_14,Safe_15,Safe_16,Safe_17,Safe_18,Safe_19,Safe_20,Safe_21,Safe_22,Safe_23,Safe_24,Safe_25,Safe_26,Safe_27,Safe_28
Safe_0,0.04264686396852245,0.015975485051192683,0.0007449335310851755,0.2294594317123988,0.13384658818194664,0.0061310215550910456,0.04165387562505039,0.334818088350216,0.056037027296966656,0.27202222675818766,0.020998641762099122,0.44008638665460625,0.03755703766268135,0.00282617304606329,0.1849871521587448,0.14050482283639293,0.014696169131531482,0.46122329448659666,0.2052948079782016,0.004277852828939106,0.00085501730362768,0.2817676111418174,0.13375754682504346,0.23544823999701278,0.2988711642327896,0.27330982257930336,0.007190513824549037,0.00048761433254992996,0.09048426425136788
Safe_1,0.03131919285729681,0.027234220443217796,0.4009745424438062,0.20844441110003575,0.1120243781145798,0.13100402049990056,0.02957288787273754,0.0948363386073541,0.13362061211687082,0.03752704856539951,0.0017570584567211398,0.19633921110561683,0.019827721382315693,0.38753964407708463,0.0019877498200839105,0.037576740552838,0.04723565393181741,0.036165479777932705,0.04072731988633805,0.6589308108880892,0.29894847015162973,0.005087173485838124,0.07837161532939563,0.01991290224770113,0.03675330581328916,0.37790133291981937,0.018875464570754185,0.05128097277605925,0.6620280797899895
Safe_2,0.024929660108363425,0.1472775463324132,0.5436861940484421,0.04688187823975032,0.03735343468474829,0.11492223199955734,0.03478092618916075,0.08845432572872836,0.003234627821868262,0.0012447272850191335,0.04705174328620078,0.16597874327580475,0.04015789994306755,0.005841025275506315,0.03767198948673618,0.2548899007830208,0.445021872093727,0.09508934892423947,0.09746050014230864,0.09125946191097493,0.029180570730279163,0.46802765938280394,0.02057834830121906,0.018288588668229532,0.09023744412727956,0.049760156947663864,0.0007276552675629292,0.009146565314154058,0.19349110412472761
Safe_3,0.020440029355730995,0.07816255032126578,0.10280046782493749,0.09665520330206265,0.2353226411994052,0.028476124307856877,0.08439789735228231,0.04804376397093773,0.023764502839077224,0.03674625910915789,0.016754461081755986,0.05278869011351833,0.14083503342480577,0.023676360115419723,0.006375796143468955,0.18413681684160071,0.2774410809517178,0.23779633252031346,0.02823251059536027,0.02041172265051984,0.009697012032306546,0.06472279458490637,0.2448652695367906,0.1680697051601039,0.03200446512536519,0.029656023690095658,3.939400961457364e-05,0.15726186765780964,0.18432834606716456
Safe_4,0.04484014518972636,0.40507630389873844,0.0023696533749283347,0.015547676919740253,0.9308234080116438,0.013175665773749939,0.05193737286676895,0.12286975758142468,0.012290048153428731,0.14924488520658674,0.10210591040760754,0.11368744868758128,0.12317287179084199,0.33381510253663543,0.04729742571594205,0.11728146958382095,0.08422672114528175,0.04087195699383207,0.047340475068420984,0.191482644033536,0.07085578692817693,0.028489910965833157,0.2815076114591126,0.018784912620887027,0.5190793456402443,0.5415087139163727,0.6814924458413685,0.003576700157195664,0.6103206811553095
Safe_5,0.03213311375551148,0.1350350247459941,0.00011326996044033604,0.10218760093713829,0.0036877552213865224,0.1715026585713584,0.014247979121641545,0.07748819176298044,0.34248746178260714,0.20575710300761144,0.35122193493582954,0.01162995313292729,0.0034170366556811153,0.17975565829275517,0.3884228320358113,0.603603882884573,0.009280584137315981,0.026322386969698082,0.03526304701494857,0.04130381812485513,0.47691117723633925,0.07835649307959383,0.17477809339969042,0.13429504212400076,0.07664341337932049,0.20909366690908152,0.024502731295904603,0.0861308340632642,0.008802725642250212
Safe_6,0.03244161085968053,0.001569208763586817,0.04800443978587055,0.09262886645451265,0.46575165845593564,0.170791084446959,0.16508883215595951,0.09187795825686437,0.0007896954565126146,0.022417096661120316,0.16489110221284575,0.31375805449394256,0.04081434516184362,0.028913169982959404,0.09678301388007178,0.5138061671186885,0.2851391706987515,0.19942307449191174,0.06982752147533602,0.1108971804397586,0.0040201097364403054,0.00713816027509961,0.17331183071876266,0.17058109964172088,0.16828933447166905,0.2528808284776015,0.1935189896246407,0.022066175638017597,0.11231410276621334
Safe_7,0.03716420889691172,0.2552749575652401,0.004710248409057458,0.09688202995612075,0.022550626341368854,0.025652427301892905,0.03203990144488372,0.07196019376669088,0.008442513555577102,0.05779226359310836,0.11237233227761981,0.12048912370388162,0.14997691048141443,0.0034519215280258385,0.22811393922680903,0.0003990154430576177,0.5981758963294105,0.023155951268835195,4.359307352083037e-05,0.10052061278869048,0.041822443904430136,0.029743672868913468,0.06212928091778917,0.0681512113033943,0.012994163965453807,0.003923296236050555,0.15201019913023756,0.2231386919589101,0.2673235894640774
Safe_8,0.3654868053890825,0.01361380363104131,0.04726225953843698,0.005162047142360142,0.04121129683542016,0.02603018050883542,0.5549993610462586,0.08717184245627335,0.059651826329362875,0.3231479570855396,0.06660354246854225,0.013467492028461273,0.22082689613872858,0.22725946634051258,0.07857383666041315,0.016689808488460984,0.06283597975971714,0.017035790858135204,0.3038454352700165,0.23078045771518058,0.08186177333505319,0.0002083930228413634,0.041557859055809165,0.25417310008448185,0.005990675618382846,0.05775500736009874,0.006730785583629909,0.3761105093013372,0.01717593714053564
Safe_9,0.2687092377230758,0.022814443361210097,0.5857656669450902,0.04363823002892164,0.005414395137437173,0.4256840193989084,3.4452056720040877e-06,0.22325806593870157,0.03257768676160118,0.037096372179597166,0.04065146625745861,0.5321560189577077,0.0888712593144595,0.018611828789753666,0.1407211138284213,0.25200667980666447,0.13064082359012985,0.04508303365717846,0.027574473550379945,0.08881809476328067,0.00892344372811919,0.0016564203501391868,0.009526442068811775,0.06724372531013957,0.20843184117481825,0.010569250063915724,0.04176099166408337,0.0040401666794405945,0.6894601320038919
Safe_10,0.04941333041728406,0.4183133456089673,0.022365829210583343,0.007057158614497732,0.09282645927629497,0.15848869618505432,0.1862500174619847,0.03650031512924984,0.055153108256125134,0.01852486841921909,0.5629436053273763,0.003680309739569093,0.007013474531117306,0.012989600122847696,0.020940690162871135,0.15385109919651752,0.4139336236739905,0.5518021289010675,0.23583088641753058,0.08154756530874757,0.08695948989698254,0.4047938573169599,0.020240860285003878,0.02402773709998452,0.45647533628613585,0.0012537813601066602,0.08363413086951725,0.008516331655412126,0.17908337737099
Safe_11,0.3605518839230709,0.0005783814088005204,0.012417077967426507,0.030734492777198266,0.057188040142650956,0.20886927622873097,0.20197755027712938,0.0074818471299045,0.09676346072129474,0.02193372115267031,0.004511805660560635,0.16220891267319587,0.051843388035397404,0.3966374277181913,0.02628870292399586,0.032656651241314796,0.056339298669879745,0.026814014120449037,0.05460649982847818,0.004484614883493467,0.1552186017792062,0.04930223363748925,0.001278707153708084,0.31980407894104446,0.06479529814807415,0.003395104573344589,0.013611667778539406,0.3534449755901312,0.0005132249689949385
Safe_12,0.5140593135675107,0.007469123981139738,0.14158616640632243,0.08556204431345232,0.27169623436701146,0.007637147764949414,0.4581973149975531,0.27919566965066533,0.23379529335395924,0.0035155616990442434,0.2439050396268548,0.012377135667261074,0.10622411053529411,0.12951261379953416,0.05950116708571172,0.29746768582557886,0.001416466381952241,0.5078289878137479,0.07185749555177358,0.04384818735955562,0.007994354690027633,0.00024651210421267945,0.01425654807535071,0.06309586819805917,0.23873797731079505,0.07274046702705746,0.17499372925621315,0.13310382345088737,0.042510876495566036
Safe_13,0.19667222096762393,0.0737298039720376,0.004709574591668795,0.01878537590010212,0.3412546301880799,0.4462547773760472,0.002870662173446443,0.08529052436364595,0.4483472099602087,0.006198855676514894,0.007819089035285387,0.0949213108279598,0.004261342093010297,0.012696849440395265,0.11752143512610536,0.05797597373887096,0.3792243318930741,0.06470192392920344,0.060531173493703426,0.268471800386735,0.02249044837846111,0.08367569739411118,0.025885870411205904,0.010174417815126551,7.905895233113675e-06,0.2518360869689167,0.08455123591309893,0.006225680094686661,0.30945393978229774
Safe_14,0.18598630509031577,0.003130959430447501,0.0010978690240796153,0.01068435215970536,0.2210520893575255,0.08221638972111835,0.03402756492904427,0.0693862891630956,0.16910668570036147,0.1311393285680374,0.004125112323470792,0.4750764221054728,0.002755600364604514,0.01361267582681936,0.012208942431702383,0.018042478391208813,0.21388330496511265,0.20370053282840148,0.2603963319185184,0.005505452070538648,0.015724035409859123,0.20101112881549207,0.031047685722892,0.00033642483387486563,0.562508029868357,0.278800633897342,0.29893207448145065,0.0014937091165070642,0.14436121233294605
Safe_15,0.08470651564179557,0.21211661608689245,0.4164054045498699,0.10408388535793017,0.03538959679903391,0.06852997935745145,0.0014584933753442556,0.17093509839917992,0.035163098654805,0.1989245628322893,0.05392048614929971,0.1590195480117592,0.016621886979681828,0.054673156796235786,0.1475739412759079,0.04529810481587964,0.0687828180856633,0.04638774620687939,0.05158046847292712,0.29878688810727716,0.36015920648172917,0.03400083518661584,0.017949921672909614,0.0009817286691876747,0.03949573380744682,0.12327940024708137,0.0026828954923334516,0.021885439149037362,0.043586121852864215
Safe_16,0.0007147021160921781,0.09998106244036865,0.17347898927319838,0.014914516173107786,0.06834919551601794,0.08051146650590475,0.6826086565613234,0.0006252135350975807,0.15609924793204988,0.2586013772098502,0.47512679309773115,0.20626087486252362,0.097340364543573,0.018081591635380825,0.26578190015821956,0.021508949775290897,0.19992830509060613,0.004577405122287399,0.0022615191299702546,0.040417313876035685,0.009863650957128167,0.5170516009976261,0.04291876483443296,0.075337878817446,0.02206328261513115,0.0786109616434427,0.00864457390477218,0.18050500993880528,0.005245895401091393
Safe_17,0.0002804638023716266,0.046856838630284205,0.0048141775245848055,0.008344315805440684,0.010310591444562088,0.0034765903779534636,0.12989617291900699,0.04183672024103239,0.18487293093396204,0.04034114310183117,0.006643196706135022,0.07654518097938662,0.038010970102712274,0.3379177208598625,0.0334481027864444,0.005984686751477084,0.09311292165898193,0.1790131859533667,0.032594677227526694,0.4622358734407522,0.0008245312239134619,0.07927966454478842,0.49549403856570107,0.10461581497051824,0.0031721162073485767,0.01626097636429281,0.040303802722590494,0.452289974091558,0.5653333676698429
Safe_18,0.1597789876237858,0.03666505219885756,0.11172588251193644,0.02675531442259131,0.07004825788405708,0.07288167838917169,0.16402420180741814,0.1419835497405117,0.10129942399165905,0.17152190560117092,0.0967577941300699,0.03094733174354076,0.06912261279186337,0.30146630829970034,0.00890130215115982,0.15579534572451192,0.4866421282748222,0.01610511875455624,0.012412066574089976,0.0015186654917499238,0.03335883125705468,0.44365448129886537,0.0406061174423498,0.43672244690685674,0.03142677396316553,0.005065570910409472,0.06611472572102114,0.001157610183282326,0.022021689951722413
Safe_19,0.030317755787976953,0.13376210476487166,0.02194578853270909,0.26433777998477404,0.0814059567065144,0.04285541664323956,0.0020129106713116397,0.08709332410417504,0.0018975123370434906,0.324610854626297,0.005665758573916332,0.4910644718292239,0.007404456087586083,0.01581943338153424,0.0026932165571883996,0.03008815835541675,0.25167123645925255,0.04416383745887279,0.09609501264194321,0.024434677500874236,0.0004999729425070279,0.4020649530018486,0.18234773655570163,0.1308052380152759,0.007109156583280917,0.021349277623397167,0.06077651847591313,0.03334016254404926,0.23370947344353046
Safe_20,0.11099233737549521,0.08552942838947078,0.004300712052581984,0.07563724142923103,0.015613964729233763,0.12740843914911082,0.0703804800420756,0.39527435052339566,0.015193862531276784,0.34214630506560423,0.000147828686522431,0.05300747764242003,0.09006848164874649,0.0008010433774195286,0.34336390926706417,0.07097919972312905,0.1980596052469771,0.0032446878874413357,4.0168396813309986e-05,0.0597080369188914,0.007177080673301866,0.09883978922973916,0.11505735116075984,0.037621237221134515,0.18976783637879627,0.00495197280286277,0.038530840944189224,0.049636739452263406,0.03326312849937433
Safe_21,0.40483501339783123,0.002907069953151649,0.35471175533242527,0.0027203696033573322,0.4957386779359993,0.01936911933774345,0.0008318836472039061,0.1680662054540099,0.08955461346053845,0.059194238977642887,0.027627827272622068,0.1334206108147949,0.2169804799768636,0.2912944094152885,0.21150724613613137,0.47022726526433967,0.003725938304854778,0.2789203473065386,0.00038270855541106853,0.4353694308650366,0.3914010708780139,0.06502749670181174,0.010256271058698582,0.052484340485960554,0.07915781324552536,0.06797052984276453,0.3364960213801141,0.23518878204224325,0.01820261417753949
Safe_22,0.003796999624615084,0.008943525477150755,0.04707830464800194,0.01653041525335125,0.15500756521402945,0.24636469623657103,0.03378460301383525,0.27977863038844986,0.011572416409268097,0.03132518185214266,0.13245543394034895,0.399789063167725,0.0026640910110520945,0.33930879853878715,0.20168839910246375,0.00687220766373786,0.024677888699911412,0.08823552749494852,0.007646994828607964,1.0698972101709018e-05,0.024356816694501626,0.034804994268120296,0.0036926670693663986,0.11930801983117068,0.0011115965691894177,0.08614252318428252,0.31284860318544516,0.7597694249526417,0.5811931007589457
